,Samlpe,Type,TMB.score,Genes
338,TCGA-GV-A3JX-01,BLCA,7.7205265882,7.41601094740985
339,TCGA-GV-A3JZ-01,BLCA,12.637431684,7.42030471551421
340,TCGA-GV-A3QF-01,BLCA,3.5895474849,6.14740130670098
341,TCGA-GV-A3QG-01,BLCA,2.3718506365,7.72235709279139
342,TCGA-GV-A3QH-01,BLCA,4.4292159222,7.2024404754922
343,TCGA-GV-A3QI-01,BLCA,12.798638663,7.27672134051834
344,TCGA-GV-A3QK-01,BLCA,3.3986940275,7.30665619254845
345,TCGA-GV-A40E-01,BLCA,3.9064585479,8.02431792469449
346,TCGA-GV-A40G-01,BLCA,3.9877054094,7.35719754994339
347,TCGA-GV-A6ZA-01,BLCA,8.7460895586,7.41955919812099
348,TCGA-H4-A2HO-01,BLCA,2.2909812516,6.1579054182795
349,TCGA-H4-A2HQ-01,BLCA,11.043600018,7.6945534160452
350,TCGA-HQ-A2OE-01,BLCA,4.1120580682,7.22091888203297
351,TCGA-HQ-A2OF-01,BLCA,2.9151551857,7.75643811116188
352,TCGA-HQ-A5ND-01,BLCA,2.2405339413,8.22467609142251
353,TCGA-HQ-A5NE-01,BLCA,9.2535533284,7.48371918813682
354,TCGA-K4-A3WS-01,BLCA,7.2668408889,6.85563749513896
355,TCGA-K4-A3WU-01,BLCA,4.772363576,7.02394290098158
356,TCGA-K4-A3WV-01,BLCA,1.5910855699,6.86352823063803
357,TCGA-K4-A4AB-01,BLCA,2.3228104261,6.49662074113281
358,TCGA-K4-A4AC-01,BLCA,3.859292883,7.7721879637448
359,TCGA-K4-A54R-01,BLCA,24.005941291,7.61863346815493
360,TCGA-K4-A5RH-01,BLCA,4.6527602472,7.51253004902587
361,TCGA-K4-A5RI-01,BLCA,3.3774754234,7.69518485803613
362,TCGA-K4-A5RJ-01,BLCA,8.5911456761,8.13889614672293
363,TCGA-K4-A6FZ-01,BLCA,9.9091540852,7.10724919021676
364,TCGA-K4-A6MB-01,BLCA,8.4447828326,7.5340473491131
365,TCGA-K4-A83P-01,BLCA,6.1769651804,6.66544846438572
366,TCGA-K4-AAQO-01,BLCA,6.6519208794,6.60908678236195
367,TCGA-KQ-A41N-01,BLCA,7.170376905,6.32236418905942
368,TCGA-KQ-A41O-01,BLCA,6.0587058745,7.01850660484593
369,TCGA-KQ-A41P-01,BLCA,8.083349955,6.34131486147476
370,TCGA-KQ-A41Q-01,BLCA,3.9883382227,7.29115001672514
371,TCGA-KQ-A41R-01,BLCA,19.040898399,6.51945705078192
372,TCGA-KQ-A41S-01,BLCA,5.8783478316,7.16135011677855
373,TCGA-LC-A66R-01,BLCA,3.3766313815,7.45613051312637
374,TCGA-LT-A5Z6-01,BLCA,12.702697664,6.93533283910213
375,TCGA-LT-A8JT-01,BLCA,1.9860746993,6.80615035204461
376,TCGA-MV-A51V-01,BLCA,40.586436735,6.4195066436091
377,TCGA-PQ-A6FI-01,BLCA,3.978827104,7.41404917226138
378,TCGA-PQ-A6FN-01,BLCA,2.0583049372,7.0151797843905
379,TCGA-R3-A69X-01,BLCA,5.4841572799,7.19801518277686
